Start time,Request type,Latency,Response code
Thu Oct 22 18:51:22 PDT 2020,Get,4869,200
Thu Oct 22 18:51:22 PDT 2020,Get,4755,200
Thu Oct 22 18:51:22 PDT 2020,Get,4822,200
Thu Oct 22 18:51:22 PDT 2020,Get,4846,200
Thu Oct 22 18:51:22 PDT 2020,Get,4794,200
Thu Oct 22 18:51:22 PDT 2020,Get,4831,200
Thu Oct 22 18:51:22 PDT 2020,Get,4656,200
Thu Oct 22 18:51:22 PDT 2020,Get,4679,200
Thu Oct 22 18:51:22 PDT 2020,Get,4695,200
Thu Oct 22 18:51:22 PDT 2020,Get,4881,200
Thu Oct 22 18:51:22 PDT 2020,Get,4664,200
Thu Oct 22 18:51:22 PDT 2020,Get,4756,200
Thu Oct 22 18:51:22 PDT 2020,Get,4803,200
Thu Oct 22 18:51:26 PDT 2020,Get,4320,200
Thu Oct 22 18:51:26 PDT 2020,Get,4400,200
Thu Oct 22 18:51:26 PDT 2020,Get,4386,200
Thu Oct 22 18:51:26 PDT 2020,Get,4216,200
Thu Oct 22 18:51:26 PDT 2020,Get,4325,200
Thu Oct 22 18:51:26 PDT 2020,Get,4397,200
Thu Oct 22 18:51:26 PDT 2020,Get,4527,200
Thu Oct 22 18:51:26 PDT 2020,Get,4390,200
Thu Oct 22 18:51:27 PDT 2020,Get,4419,200
Thu Oct 22 18:51:27 PDT 2020,Get,4475,200
Thu Oct 22 18:51:27 PDT 2020,Get,4442,200
Thu Oct 22 18:51:27 PDT 2020,Get,4441,200
Thu Oct 22 18:51:27 PDT 2020,Get,4505,200
Thu Oct 22 18:51:27 PDT 2020,Get,4559,200
Thu Oct 22 18:51:27 PDT 2020,Get,4446,200
Thu Oct 22 18:51:27 PDT 2020,Get,4568,200
Thu Oct 22 18:51:27 PDT 2020,Get,4491,200
Thu Oct 22 18:51:27 PDT 2020,Get,4581,200
Thu Oct 22 18:51:27 PDT 2020,Get,4491,200
Thu Oct 22 18:51:27 PDT 2020,Get,4451,200
Thu Oct 22 18:51:27 PDT 2020,Get,4507,200
Thu Oct 22 18:51:27 PDT 2020,Get,4560,200
Thu Oct 22 18:51:27 PDT 2020,Get,4451,200
Thu Oct 22 18:51:27 PDT 2020,Get,4602,200
Thu Oct 22 18:51:27 PDT 2020,Get,4575,200
Thu Oct 22 18:51:27 PDT 2020,Get,4453,200
Thu Oct 22 18:51:27 PDT 2020,Get,4587,200
Thu Oct 22 18:51:27 PDT 2020,Get,4504,200
Thu Oct 22 18:51:27 PDT 2020,Get,4551,200
Thu Oct 22 18:51:27 PDT 2020,Get,4407,200
Thu Oct 22 18:51:27 PDT 2020,Get,4500,200
Thu Oct 22 18:51:27 PDT 2020,Get,4538,200
Thu Oct 22 18:51:27 PDT 2020,Get,4512,200
Thu Oct 22 18:51:27 PDT 2020,Get,4572,200
Thu Oct 22 18:51:27 PDT 2020,Get,4470,200
Thu Oct 22 18:51:27 PDT 2020,Get,4499,200
Thu Oct 22 18:51:27 PDT 2020,Get,4496,200
Thu Oct 22 18:51:27 PDT 2020,Get,4456,200
Thu Oct 22 18:51:27 PDT 2020,Get,4536,200
Thu Oct 22 18:51:27 PDT 2020,Get,4700,200
Thu Oct 22 18:51:27 PDT 2020,Get,4596,200
Thu Oct 22 18:51:27 PDT 2020,Get,4511,200
